Test:	mc_1-5_tempramp_10_1
Result:	Temperature ramp
Interval:	1
Point No.	Time	Test Time	Temperature	Storage Modulus	Loss Modulus	Loss Factor	Complex Viscosity	Gap	Normal Force	Torque	Status
37	2188,733	3372	46,45	16,613	17,739	1,07	2430,3	0,000	0,22	1,4569	TruStrain™
38	2247,888	3431	47,45	16,79	17,214	1,03	2404,7	0,000	0,34	1,4415	TruStrain™
39	2307,043	3490	48,45	17,191	16,732	0,973	2398,9	0,000	0,04	1,4381	TruStrain™
40	2366,198	3549	49,43	17,809	16,264	0,913	2411,8	0,000	0,23	1,4458	TruStrain™
41	2425,353	3609	50,43	18,737	15,824	0,845	2452,5	0,000	0,29	1,4702	TruStrain™
42	2484,508	3668	51,45	20,074	15,41	0,768	2530,7	0,000	0,35	1,5171	TruStrain™
43	2543,663	3727	52,45	21,983	15,011	0,683	2661,9	0,000	0,18	1,5958	TruStrain™
44	2602,818	3786	53,45	24,707	14,674	0,594	2873,6	0,000	0,04	1,7227	TruStrain™
45	2661,973	3845	54,46	28,628	14,355	0,501	3202,5	0,000	0,09	1,9198	TruStrain™
46	2721,128	3904	55,46	34,29	14,033	0,409	3705,1	0,000	0,16	2,2211	TruStrain™
47	2780,283	3964	56,45	42,478	13,639	0,321	4461,4	0,000	0,25	2,6745	TruStrain™
48	2839,438	4023	57,45	54,51	13,147	0,241	5607,3	0,000	0,37	3,3615	TruStrain™
49	2898,593	4082	58,46	72,085	12,509	0,174	7316,2	0,000	0,09	4,3859	TruStrain™
50	2957,748	4141	59,47	97,29	11,867	0,122	9801,1	0,000	0,11	5,8755	TruStrain™
51	3016,903	4200	60,47	132,56	11,331	0,0855	13304	0,000	0,20	7,9754	TruStrain™
52	3076,058	4259	61,47	180,3	10,985	0,0609	18063	0,000	0,31	10,828	TruStrain™
53	3135,213	4318	62,44	242,48	10,969	0,0452	24273	0,000	0,47	14,551	TruStrain™
54	3194,368	4378	63,46	320,35	11,248	0,0351	32055	0,000	0,49	19,216	TruStrain™
55	3253,523	4437	64,46	413,73	11,842	0,0286	41390	0,000	0,53	24,812	TruStrain™
56	3312,678	4496	65,46	518,63	12,522	0,0241	51878	0,000	0,66	31,1	TruStrain™
57	3371,833	4555	66,47	627,21	13,121	0,0209	62735	0,000	0,76	37,608	TruStrain™
58	3430,988	4614	67,47	731,9	13,516	0,0185	73203	0,000	0,80	43,883	TruStrain™
59	3490,143	4673	68,45	832,65	13,783	0,0166	83277	0,000	0,52	49,922	TruStrain™
60	3549,298	4733	69,46	936,43	14,116	0,0151	93654	0,000	0,38	56,143	TruStrain™
61	3608,453	4792	70,47	1048,8	14,706	0,014	1,0489E+05	0,000	0,36	62,88	TruStrain™
62	3667,608	4851	71,47	1170,6	15,682	0,0134	1,1707E+05	0,000	0,37	70,181	TruStrain™
63	3726,763	4910	72,47	1300,2	17,239	0,0133	1,3003E+05	0,000	0,43	77,952	TruStrain™
64	3785,918	4969	73,47	1434,5	18,918	0,0132	1,4347E+05	0,000	0,39	86,004	TruStrain™
65	3845,073	5028	74,48	1570,5	20,761	0,0132	1,5706E+05	0,000	0,15	94,157	TruStrain™
66	3904,228	5088	75,46	1705,5	22,778	0,0134	1,7056E+05	0,000	0,17	102,25	TruStrain™
67	3963,383	5147	76,47	1838,1	24,906	0,0136	1,8382E+05	0,000	0,21	110,2	TruStrain™
68	4022,538	5206	77,47	1968,5	27,125	0,0138	1,9687E+05	0,000	0,29	118,02	TruStrain™
69	4081,693	5265	78,47	2096,6	29,443	0,014	2,0968E+05	0,000	0,35	125,7	TruStrain™
70	4140,849	5324	79,48	2222,4	31,838	0,0143	2,2227E+05	0,000	0,09	133,24	TruStrain™
71	4200,003	5383	80,47	2346,6	34,401	0,0147	2,3468E+05	0,000	0,11	140,69	TruStrain™
1	4259,159	5442	80,45	2461,8	36,826	0,015	2,462E+05	0,000	0,14	147,59	TruStrain™
2	4318,314	5502	79,15	2548,8	38,719	0,0152	2,5491E+05	0,000	0,18	152,81	TruStrain™
3	4377,469	5561	77,83	2610	39,657	0,0152	2,6103E+05	0,000	0,26	156,48	TruStrain™
4	4436,624	5620	76,82	2648,8	39,875	0,0151	2,6491E+05	0,000	-0,05	158,81	TruStrain™
5	4495,779	5679	75,77	2665,1	39,792	0,0149	2,6654E+05	0,000	-0,11	159,78	TruStrain™
6	4554,934	5738	74,71	2672,5	39,374	0,0147	2,6728E+05	0,000	-0,07	160,23	TruStrain™
7	4614,089	5797	73,67	2669,6	38,742	0,0145	2,6699E+05	0,000	-0,01	160,06	TruStrain™
8	4673,244	5857	72,67	2660,2	38,024	0,0143	2,6605E+05	0,000	0,08	159,49	TruStrain™
9	4732,399	5916	71,66	2643,4	37,222	0,0141	2,6436E+05	0,000	-0,03	158,48	TruStrain™
10	4791,554	5975	70,66	2621,7	36,45	0,0139	2,6219E+05	0,000	-0,20	157,18	TruStrain™
11	4850,709	6034	69,64	2596	35,559	0,0137	2,5963E+05	0,000	-0,16	155,64	TruStrain™
12	4909,864	6093	68,62	2566,1	34,66	0,0135	2,5663E+05	0,000	-0,06	153,84	TruStrain™
13	4969,019	6152	67,62	2531,9	33,829	0,0134	2,5321E+05	0,000	0,11	151,79	TruStrain™
14	5028,173	6211	66,64	2494,1	32,993	0,0132	2,4943E+05	0,000	-0,13	149,53	TruStrain™
15	5087,328	6271	65,64	2453,5	32,109	0,0131	2,4537E+05	0,000	-0,23	147,1	TruStrain™
16	5146,483	6330	64,63	2410	31,221	0,013	2,4102E+05	0,000	-0,18	144,49	TruStrain™
17	5205,638	6389	63,62	2363	30,372	0,0129	2,3632E+05	0,000	-0,11	141,67	TruStrain™
18	5264,793	6448	62,61	2313	29,528	0,0128	2,3132E+05	0,000	-0,01	138,67	TruStrain™
19	5323,948	6507	61,61	2260,9	28,639	0,0127	2,261E+05	0,000	0,03	135,54	TruStrain™
20	5383,103	6566	60,63	2206,1	27,831	0,0126	2,2063E+05	0,000	-0,25	132,26	TruStrain™
21	5442,258	6626	59,63	2149,1	26,951	0,0125	2,1493E+05	0,000	-0,23	128,84	TruStrain™
22	5501,413	6685	58,63	2090,3	26,19	0,0125	2,0905E+05	0,000	-0,16	125,32	TruStrain™
23	5560,568	6744	57,61	2028,8	25,335	0,0125	2,0289E+05	0,000	-0,08	121,63	TruStrain™
24	5619,722	6803	56,63	1965,7	24,497	0,0125	1,9659E+05	0,000	0,04	117,85	TruStrain™
25	5678,877	6862	55,62	1901,1	23,725	0,0125	1,9012E+05	0,000	-0,15	113,97	TruStrain™
26	5738,032	6921	54,62	1835	22,901	0,0125	1,8351E+05	0,000	-0,25	110,01	TruStrain™
27	5797,188	6980	53,63	1768	22,161	0,0125	1,7681E+05	0,000	0,00	106	TruStrain™
28	5856,342	7040	52,62	1700,5	21,376	0,0126	1,7006E+05	0,000	0,06	101,95	TruStrain™
29	5915,497	7099	51,61	1632,3	20,662	0,0127	1,6325E+05	0,000	0,07	97,863	TruStrain™
30	5974,652	7158	50,60	1564	19,952	0,0128	1,5642E+05	0,000	-0,23	93,768	TruStrain™
31	6033,807	7217	49,60	1495,1	19,291	0,0129	1,4952E+05	0,000	-0,20	89,636	TruStrain™
32	6092,962	7276	48,60	1426,1	18,657	0,0131	1,4262E+05	0,000	-0,14	85,498	TruStrain™
33	6152,117	7335	47,62	1357,6	18,065	0,0133	1,3577E+05	0,000	-0,05	81,392	TruStrain™
34	6211,272	7395	46,62	1289,5	17,484	0,0136	1,2896E+05	0,000	0,07	77,307	TruStrain™
35	6270,427	7454	45,62	1221,7	16,97	0,0139	1,2218E+05	0,000	-0,16	73,244	TruStrain™
36	6329,583	7513	44,61	1154,3	16,54	0,0143	1,1544E+05	0,000	-0,22	69,204	TruStrain™
37	6388,737	7572	43,62	1087,4	15,947	0,0147	1,0875E+05	0,000	-0,16	65,193	TruStrain™
38	6447,892	7631	42,62	1021,3	15,656	0,0153	1,0215E+05	0,000	-0,08	61,234	TruStrain™
39	6507,047	7690	41,62	955,96	15,414	0,0161	95608	0,000	0,02	57,315	TruStrain™
40	6566,202	7749	40,64	891,42	15,296	0,0172	89155	0,000	-0,01	53,447	TruStrain™
41	6625,357	7809	39,64	828,2	15,215	0,0184	82834	0,000	-0,07	49,657	TruStrain™
42	6684,512	7868	38,64	766,1	15,302	0,02	76625	0,000	0,02	45,935	TruStrain™
43	6743,667	7927	37,64	705,32	15,477	0,0219	70549	0,000	0,07	42,292	TruStrain™
44	6802,822	7986	36,64	646,11	15,742	0,0244	64630	0,000	0,11	38,744	TruStrain™
45	6861,978	8045	35,64	589,19	16,113	0,0273	58941	0,000	-0,20	35,334	TruStrain™
46	6921,132	8104	34,66	534,18	16,478	0,0308	53443	0,000	-0,19	32,038	TruStrain™
47	6980,287	8164	33,67	481,65	16,833	0,0349	48194	0,000	-0,12	28,891	TruStrain™
48	7039,442	8223	32,68	431,92	17,123	0,0396	43226	0,000	-0,03	25,913	TruStrain™
49	7098,597	8282	31,68	384,64	17,292	0,045	38503	0,000	0,10	23,082	TruStrain™
50	7157,752	8341	30,69	339,68	17,301	0,0509	34012	0,000	-0,11	20,39	TruStrain™
51	7216,907	8400	29,69	296,77	17,276	0,0582	29727	0,000	-0,16	17,821	TruStrain™
52	7276,063	8459	28,70	255,84	17,22	0,0673	25642	0,000	-0,09	15,372	TruStrain™
53	7335,217	8518	27,71	217,02	17,35	0,0799	21771	0,000	0,01	13,051	TruStrain™
54	7394,373	8578	26,72	180,66	17,865	0,0989	18154	0,000	0,13	10,883	TruStrain™
55	7453,527	8637	25,73	147,76	18,861	0,128	14896	0,000	0,20	8,93	TruStrain™
56	7512,682	8696	24,74	119,42	20,272	0,17	12113	0,000	0,05	7,2613	TruStrain™
57	7571,837	8755	23,75	96,494	21,96	0,228	9896,1	0,000	0,14	5,9325	TruStrain™
58	7630,992	8814	22,76	79,189	23,739	0,3	8267,1	0,000	0,21	4,9559	TruStrain™
59	7690,147	8873	21,78	67,019	25,504	0,381	7170,8	0,000	0,29	4,2987	TruStrain™
60	7749,302	8933	20,79	58,869	27,128	0,461	6481,8	0,000	0,22	3,8857	TruStrain™
61	7808,458	8992	19,81	53,514	28,514	0,533	6063,6	0,000	0,03	3,635	TruStrain™
62	7867,612	9051	18,83	49,928	29,689	0,595	5808,9	0,000	0,07	3,4823	TruStrain™
63	7926,768	9110	17,85	47,467	30,73	0,647	5654,6	0,000	0,14	3,3898	TruStrain™
64	7985,922	9169	16,88	45,756	31,69	0,693	5565,9	0,000	0,23	3,3366	TruStrain™
65	8045,077	9228	15,92	44,607	32,625	0,731	5526,5	0,000	0,35	3,313	TruStrain™
66	8104,232	9288	14,96	43,892	33,542	0,764	5524,1	0,000	0,06	3,3116	TruStrain™
67	8163,387	9347	14,01	43,609	34,454	0,79	5557,7	0,000	0,05	3,3317	TruStrain™
68	8222,542	9406	13,07	43,66	35,399	0,811	5620,8	0,000	0,11	3,3695	TruStrain™
69	8281,697	9465	12,16	43,989	36,299	0,825	5703,2	0,000	0,19	3,4189	TruStrain™
70	8340,854	9524	11,29	44,528	37,231	0,836	5804,2	0,000	0,37	3,4795	TruStrain™
71	8400,008	9583	10,52	45,221	38,104	0,843	5913,4	0,000	0,06	3,5449	TruStrain™
